pays,code_iso3,region_oms,frequence_allele_hbs,nombre_enquetes,naissances_ss_par_an,incidence_paludisme_2000
Moldavie,MDA,Europe,0.0,0,0,
Mongolie,MNG,Pacifique occidental,0.0,0,0,
Monténégro,MNE,Europe,0.005,0,1,
Mozambique,MOZ,Afrique,0.027,14,1645,473.67
Namibie,NAM,Afrique,0.01,8,30,53.57
Népal,NPL,Asie du Sud-Est,0.002,1,11,6.73
Nicaragua,NIC,Amériques,0.023,0,204,6.78
Niger,NER,Afrique,0.08,7,4965,359.24
Nigeria,NGA,Afrique,0.171,24,85186,401.79
Norvège,NOR,Europe,0.0,0,0,
Nouvelle-Calédonie,NCL,Pacifique occidental,0.0,0,0,
Nouvelle-Zélande,NZL,Pacifique occidental,0.0,0,0,
Oman,OMN,Méditerranée orientale,0.001,2,0,0.0
Ouganda,UGA,Afrique,0.082,11,10143,482.77
Ouzbékistan,UZB,Europe,0.0,0,0,5.08
Pakistan,PAK,Méditerranée orientale,0.002,1,228,6.08
Panama,PAN,Amériques,0.03,3,140,0.54
Papouasie-Nouvelle-Guinée,PNG,Pacifique occidental,0.0,1,0,264.08
Paraguay,PRY,Amériques,0.003,0,7,37.32
Pays-Bas,NLD,Europe,0.011,2,82,
Pérou,PER,Amériques,0.0,10,0,13.19
Philippines,PHL,Pacifique occidental,0.0,0,0,1.73
Pologne,POL,Europe,0.0,0,0,
Polynésie française,PYF,Pacifique occidental,0.0,0,0,
Porto Rico,PRI,Amériques,0.004,1,2,
Portugal,PRT,Europe,0.01,2,41,
Qatar,QAT,Méditerranée orientale,0.032,0,41,
République centrafricaine,CAF,Afrique,0.077,2,976,438.12
République démocratique du Congo,COD,Afrique,0.165,11,38217,458.24
République dominicaine,DOM,Amériques,0.019,0,247,0.32
République du Congo,COG,Afrique,0.145,4,1560,349.6
Roumanie,ROU,Europe,0.001,0,2,
Royaume-Uni,GBR,Europe,0.009,4,296,
Russie,RUS,Europe,0.0,0,0,
Rwanda,RWA,Afrique,0.023,2,601,180.43
Saint-Vincent-et-les-Grenadines,VCT,Amériques,0.045,0,6,
Sainte-Lucie,LCA,Amériques,0.049,1,12,
Salvador,SLV,Amériques,0.014,1,80,0.62
Samoa,WSM,Pacifique occidental,0.0,0,0,
Sao Tomé-et-Principe,STP,Afrique,0.094,0,41,222.02
Sénégal,SEN,Afrique,0.067,20,2535,230.37
Serbie,SRB,Europe,0.004,0,10,
Sierra Leone,SLE,Afrique,0.164,0,2838,424.58
Singapour,SGP,Pacifique occidental,0.0,1,0,
Slovaquie,SVK,Europe,0.001,0,0,
Slovénie,SVN,Europe,0.001,0,0,
Somalie,SOM,Méditerranée orientale,0.002,2,13,133.15
Soudan,SDN,Méditerranée orientale,0.043,32,4567,89.72
Sri Lanka,LKA,Asie du Sud-Est,0.001,28,2,47.33
Suède,SWE,Europe,0.0,0,0,
Suisse,CHE,Europe,0.004,0,6,
Surinam,SUR,Amériques,0.03,0,19,161.38
Syrie,SYR,Méditerranée orientale,0.025,4,901,0.0
Tadjikistan,TJK,Europe,0.0,0,0,9.08
Tanzanie,TZA,Afrique,0.074,57,11022,334.61
Tchad,TCD,Afrique,0.051,6,2045,272.13
Tchéquie,CZE,Europe,0.001,0,0,
Thaïlande,THA,Asie du Sud-Est,0.0,0,0,6.57
Timor oriental,TLS,Asie du Sud-Est,0.0,0,0,158.38
Togo,TGO,Afrique,0.125,4,2175,445.12
Tonga,TON,Pacifique occidental,0.0,0,0,
Trinité-et-Tobago,TTO,Amériques,0.038,1,56,
Tunisie,TUN,Méditerranée orientale,0.011,12,81,
Turkménistan,TKM,Europe,0.0,0,0,0.08
Turquie,TUR,Europe,0.005,45,330,2.69
Ukraine,UKR,Europe,0.0,0,0,
Uruguay,URY,Amériques,0.001,0,1,
Vanuatu,VUT,Pacifique occidental,0.0,0,0,124.37
Vénézuela,VEN,Amériques,0.014,40,435,2.9
Viêt Nam,VNM,Pacifique occidental,0.0,0,0,3.54
Yémen,YEM,Méditerranée orientale,0.004,1,80,83.3
Zambie,ZMB,Afrique,0.112,11,5652,360.33
Zimbabwe,ZWE,Afrique,0.021,7,483,102.59
